herramienta,severidad,hallazgo,norma_iso,objetivo_cobit
Docker Bench,Media,1.1.8 - Ensure auditing is configured for Docker files and directories - containerd.sock (Automated),A.8.8,DSS05.07
Docker Bench,Media,1.1.9 - Ensure auditing is configured for Docker files and directories - docker.socket (Automated),A.8.8,DSS05.07
Docker Bench,Media,1.1.14 - Ensure auditing is configured for Docker files and directories - /usr/bin/containerd (Automated),A.8.8,DSS05.07
Docker Bench,Media,1.1.17 - Ensure auditing is configured for Docker files and directories - /usr/bin/containerd-shim-runc-v2 (Automated),A.8.8,DSS05.07
Docker Bench,Media,1.1.18 - Ensure auditing is configured for Docker files and directories - /usr/bin/runc (Automated),A.8.8,DSS05.07
Docker Bench,Media,2.2 - Ensure network traffic is restricted between containers on the default bridge (Scored),A.8.8,DSS05.07
Docker Bench,Media,2.9 - Enable user namespace support (Scored),A.8.8,DSS05.07
Docker Bench,Media,2.12 - Ensure that authorization for Docker client commands is enabled (Scored),A.8.8,DSS05.07
Docker Bench,Media,2.13 - Ensure centralized and remote logging is configured (Scored),A.8.8,DSS05.07
Docker Bench,Media,2.14 - Ensure containers are restricted from acquiring new privileges (Scored),A.8.8,DSS05.07
Docker Bench,Media,2.15 - Ensure live restore is enabled (Scored),A.8.8,DSS05.07
Docker Bench,Media,2.16 - Ensure Userland Proxy is Disabled (Scored),A.8.8,DSS05.07
Docker Bench,Media,4.5 - Ensure Content trust for Docker is Enabled (Automated),A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-14456: openssl: OpenSSL: Denial of Service via unbounded memory growth in QUIC server,A.8.8,DSS05.07
Trivy,HIGH,NSWG-ECO-428: Out-of-bounds Read,A.8.8,DSS05.07
Trivy,CRITICAL,"CVE-2023-46233: crypto-js: PBKDF2 1,000 times weaker than specified in 1993 and 1.3M times weaker than current standard",A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-71851: crypto-js is a JavaScript library of crypto standards. Versions of cry ...,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-53486: decompress: @xhmikosr/decompress: Decompress: Arbitrary file read/write via crafted archive extraction,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-59725: socket.io: engine.io: Socket.IO: Denial of Service via invalid binary POST requests,A.8.8,DSS05.07
Trivy,HIGH,CVE-2020-15084: Authorization bypass in express-jwt,A.8.8,DSS05.07
Trivy,HIGH,CVE-2022-25881: http-cache-semantics: Regular Expression Denial of Service (ReDoS) vulnerability,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-84375: js-yaml: js-yaml: Denial of Service vulnerability in YAML parsing,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2015-9235: nodejs-jsonwebtoken: verification step bypass with an altered token,A.8.8,DSS05.07
Trivy,HIGH,CVE-2022-23539: jsonwebtoken: Unrestricted key type could lead to legacy keys usagen,A.8.8,DSS05.07
Trivy,HIGH,NSWG-ECO-17: Verification Bypass,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2015-9235: nodejs-jsonwebtoken: verification step bypass with an altered token,A.8.8,DSS05.07
Trivy,HIGH,CVE-2022-23539: jsonwebtoken: Unrestricted key type could lead to legacy keys usagen,A.8.8,DSS05.07
Trivy,HIGH,NSWG-ECO-17: Verification Bypass,A.8.8,DSS05.07
Trivy,HIGH,CVE-2016-1000223: Forgeable Public/Private Tokens,A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-65945: node-jws: auth0/node-jws: Improper signature verification in HS256 algorithm,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2019-10744: nodejs-lodash: prototype pollution in defaultsDeep function leading to modifying properties,A.8.8,DSS05.07
Trivy,HIGH,CVE-2018-16487: lodash: Prototype pollution in utilities function,A.8.8,DSS05.07
Trivy,HIGH,CVE-2021-23337: nodejs-lodash: command injection via template,A.8.8,DSS05.07
Trivy,CRITICAL,GHSA-5mrr-rgp6-x4gr: Command Injection in marsdb,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-26996: minimatch: minimatch: Denial of Service via specially crafted glob patterns,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-27903: minimatch: minimatch: Denial of Service due to unbounded recursive backtracking via crafted glob patterns,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-27904: minimatch: Minimatch: Denial of Service via catastrophic backtracking in glob expressions,A.8.8,DSS05.07
Trivy,HIGH,CVE-2017-18214: nodejs-moment: Regular expression denial of service,A.8.8,DSS05.07
Trivy,HIGH,CVE-2022-24785: Moment.js: Path traversal  in moment.locale,A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-47935: Multer vulnerable to Denial of Service via memory leaks from unclosed streams,A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-47944: Multer vulnerable to Denial of Service from maliciously crafted requests,A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-48997: multer: Multer vulnerable to Denial of Service via unhandled exception,A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-7338: multer: Multer Denial of Service,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-2359: multer: Multer: Denial of Service via dropped file upload connections,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-3304: multer: Multer: Denial of Service via malformed requests,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-3520: multer: Multer: Denial of Service via malformed requests,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-5079: multer: Multer: Denial of Service via deeply nested field names in multipart form data,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-77078: multer vulnerable to Denial of Service via crafted multipart field names,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-82333: multer vulnerable to Denial of Service via oversized array index in field names,A.8.8,DSS05.07
Trivy,HIGH,CVE-2022-25887: sanitize-html: insecure global regular expression replacement logic may lead to ReDoS,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-33151: socket.io: Socket.IO: Denial of Service due to excessive buffering of specially crafted packets,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-69185: socket.io-parser: Socket.IO: Denial of Service via memory exhaustion from crafted packets,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-59873: tar: node-tar: Denial of Service via crafted gzip bomb,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-23745: node-tar: tar: node-tar: Arbitrary file overwrite and symlink poisoning via unsanitized linkpaths in archives,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-23950: node-tar: tar: node-tar: Arbitrary file overwrite via Unicode path collision race condition,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-24842: node-tar: tar: node-tar: Arbitrary file creation via path traversal bypass in hardlink security check,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-26960: node-tar: node-tar: Arbitrary file read/write via malicious archive hardlink creation,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-29786: node-tar: hardlink path traversal via drive-relative linkpath,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-31802: tar: tar: File overwrite via drive-relative symlink traversal,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-59874: tar: Node-tar: Denial of Service via malformed tar archive header,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-73566: tar: node-tar: Denial of Service via crafted long-path tar archive,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-12151: undici: undici: Denial of Service due to unbounded memory growth via WebSocket frames,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-1526: undici: undici: Denial of Service via unbounded memory consumption during WebSocket permessage-deflate decompression,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-2229: undici: Undici: Denial of Service via invalid WebSocket permessage-deflate extension parameter,A.8.8,DSS05.07
Trivy,HIGH,CVE-2024-37890: nodejs-ws: denial of service when handling a request with many HTTP headers,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-48779: ws: ws: Denial of Service via memory exhaustion from small WebSocket fragments,A.8.8,DSS05.07
Trivy,HIGH,CVE-2022-29458: ,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2023-44487: ,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2025-68121: crypto/tls: crypto/tls: Incorrect certificate validation during TLS session resumption,A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-61726: golang: net/url: Memory exhaustion in query parameter parsing in net/url,A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-61729: crypto/x509: golang: Denial of Service due to excessive resource consumption via crafted certificate,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-25679: net/url: Incorrect parsing of IPv6 host literals in net/url,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-27145: crypto/x509: golang: golang crypto/x509: Denial of Service via excessive processing of DNS SAN entries,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-32280: crypto/x509: crypto/tls: golang: Go: Denial of Service vulnerability in certificate chain building,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-32281: crypto/x509: golang: Go crypto/x509: Denial of Service via inefficient certificate chain validation,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-32283: crypto/tls: golang: Go crypto/tls: Denial of Service via multiple TLS 1.3 key update messages,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-33811: net: golang: Go net package: Denial of Service via long CNAME response in LookupCNAME,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-33814: net/http/internal/http2: golang: golang.org/x/net: Go HTTP/2: Denial of Service via malformed SETTINGS_MAX_FRAME_SIZE frame,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-33818: encoding/asn1: golang: Go encoding/asn1: Denial of Service via excessive recursion in Unmarshal,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-39820: net/mail: golang: Go net/mail: Denial of Service via crafted email inputs,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-39821: golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-39822: golang: Go os.Root: Symlink following vulnerability allows directory traversal,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-39836: net: golang: Go net package: Denial of Service via NUL byte in Dial and LookupPort on Windows,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-42499: net/mail: golang: net/mail: Denial of Service via pathological email address parsing,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-42504: mime: golang: Golang MIME: Denial of Service via maliciously-crafted MIME header,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-56853: net/http: golang: Go net/http: Unencrypted HTTP/2 connections vulnerable to Denial of Service,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-56858: html/template: golang: Go html/template: Cross-Site Scripting via pathological input,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-56859: encoding/xml: golang: Go: Denial of Service via XML decoding recursion depth issue,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-56860: net/url: golang: golang net/url: Denial of Service from quadratic complexity in path resolution,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-56862: crypto/tls: golang: Golang crypto/tls: Denial of Service via indefinite KeyUpdate messages,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-76642: util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78408: util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78409: util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,A.8.8,DSS05.07
Trivy,HIGH,"CVE-2026-78410: util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-24882: GnuPG: GnuPG: Stack-based buffer overflow in tpm2daemon allows arbitrary code execution,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-24882: GnuPG: GnuPG: Stack-based buffer overflow in tpm2daemon allows arbitrary code execution,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-24882: GnuPG: GnuPG: Stack-based buffer overflow in tpm2daemon allows arbitrary code execution,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-24882: GnuPG: GnuPG: Stack-based buffer overflow in tpm2daemon allows arbitrary code execution,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-24882: GnuPG: GnuPG: Stack-based buffer overflow in tpm2daemon allows arbitrary code execution,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-24882: GnuPG: GnuPG: Stack-based buffer overflow in tpm2daemon allows arbitrary code execution,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-24882: GnuPG: GnuPG: Stack-based buffer overflow in tpm2daemon allows arbitrary code execution,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-41992: gzip: gzip: Information disclosure via global buffer overflow in LZH decompression,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-54369: acl: Symlink traversal privilege escalation via libacl functions,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-76642: util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78408: util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78409: util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,A.8.8,DSS05.07
Trivy,HIGH,"CVE-2026-78410: util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-76642: util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78408: util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78409: util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,A.8.8,DSS05.07
Trivy,HIGH,"CVE-2026-78410: util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-76642: util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78408: util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78409: util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,A.8.8,DSS05.07
Trivy,HIGH,"CVE-2026-78410: util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-69720: ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-13221: perl: Perl: Incorrect regular expression processing via large regular expressions,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-42496: perl-archive-tar: perl-archive-tar: Path traversal via crafted symlinks allows arbitrary file access,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-8376: perl: Perl: Heap buffer overflow when compiling regular expressions on 32-bit builds,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-42497: perl-Archive-Tar: perl-Archive-Tar: Arbitrary file modification via crafted hardlinks during archive extraction,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-48962: perl-IO-Compress: perl-IO-Compress: Arbitrary code execution via attacker-controlled output glob,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-57432: perl: Perl: Information disclosure via integer overflow in pack/unpack operations,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-57433: Storable: Storable: Denial of Service via signed integer overflow in deserialization,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-9538: perl-Archive-Tar: perl-Archive-Tar: Denial of Service via crafted tar header with large entry size,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-76642: util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78408: util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78409: util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,A.8.8,DSS05.07
Trivy,HIGH,"CVE-2026-78410: util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-11822: sqlite: SQLite: Arbitrary code execution via crafted FTS5 full-text search data,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-11824: sqlite: SQLite: Arbitrary code execution and crash via heap-based buffer overflow in FTS5,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-14456: openssl: OpenSSL: Denial of Service via unbounded memory growth in QUIC server,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-16742: systemd: systemd-homed: Local privilege escalation via missing home-record signature verification,A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-69720: ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-16742: systemd: systemd-homed: Local privilege escalation via missing home-record signature verification,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-76642: util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78408: util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78409: util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,A.8.8,DSS05.07
Trivy,HIGH,"CVE-2026-78410: util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-6653: libxml2: mingw-libxml2: libxml2: Denial of Service via crafted XML input due to use-after-free,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-86140: libxml2: libxml2: Arbitrary code execution via stack-based buffer overflow in xmlSnprintfElements,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-76642: util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78408: util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78409: util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,A.8.8,DSS05.07
Trivy,HIGH,"CVE-2026-78410: util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-76642: util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78408: util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-78409: util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,A.8.8,DSS05.07
Trivy,HIGH,"CVE-2026-78410: util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-69720: ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.,A.8.8,DSS05.07
Trivy,HIGH,CVE-2025-69720: ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-14456: openssl: OpenSSL: Denial of Service via unbounded memory growth in QUIC server,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-14456: openssl: OpenSSL: Denial of Service via unbounded memory growth in QUIC server,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-13221: perl: Perl: Incorrect regular expression processing via large regular expressions,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-42496: perl-archive-tar: perl-archive-tar: Path traversal via crafted symlinks allows arbitrary file access,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-8376: perl: Perl: Heap buffer overflow when compiling regular expressions on 32-bit builds,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-42497: perl-Archive-Tar: perl-Archive-Tar: Arbitrary file modification via crafted hardlinks during archive extraction,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-48962: perl-IO-Compress: perl-IO-Compress: Arbitrary code execution via attacker-controlled output glob,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-57432: perl: Perl: Information disclosure via integer overflow in pack/unpack operations,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-57433: Storable: Storable: Denial of Service via signed integer overflow in deserialization,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-9538: perl-Archive-Tar: perl-Archive-Tar: Denial of Service via crafted tar header with large entry size,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-13221: perl: Perl: Incorrect regular expression processing via large regular expressions,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-42496: perl-archive-tar: perl-archive-tar: Path traversal via crafted symlinks allows arbitrary file access,A.8.8,DSS05.07
Trivy,CRITICAL,CVE-2026-8376: perl: Perl: Heap buffer overflow when compiling regular expressions on 32-bit builds,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-42497: perl-Archive-Tar: perl-Archive-Tar: Arbitrary file modification via crafted hardlinks during archive extraction,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-48962: perl-IO-Compress: perl-IO-Compress: Arbitrary code execution via attacker-controlled output glob,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-57432: perl: Perl: Information disclosure via integer overflow in pack/unpack operations,A.8.8,DSS05.07
Trivy,HIGH,CVE-2026-57433: Storable: Storable: Denial of Service via signed integer overflow in deserialization,A.8.8,DSS05.07
